13	10	0.1|30.16|1
58	8	0.27|14.69|1
13	3	0.28|4.59|1
9	51	0.37|6.06|1
27	16	0.49|9.92|1
14	24	0.49|10.97|1
47	7	0.63|10.58|1
18	21	0.65|16.54|1
30	59	0.89|1.51|1
11	3	0.99|1.43|1
48	15	1.06|4.55|1
38	11	1.4|27.18|1
60	32	2.15|11.91|1
49	3	2.29|6.68|1
23	31	2.3|15.98|1
18	34	2.32|21.64|1
32	5	2.37|13.96|1
39	3	2.49|11.82|1
57	4	2.66|15.86|1
10	13	2.68|31.1|1
4	33	2.69|7.37|1
32	55	2.69|9.55|1
13	28	3.06|20.11|1
14	44	3.31|8.27|1
41	43	3.33|7.86|1
41	17	3.33|21.61|1
42	29	3.35|19.81|1
22	13	3.49|8.26|1
2	49	3.62|24.56|1
56	53	4.04|22.0|1
15	20	4.69|13.67|1
33	54	4.78|14.08|1
8	3	4.99|8.79|1
49	39	5.19|7.24|1
47	37	5.51|20.65|1
12	6	5.81|12.77|1
20	35	6.31|8.6|1
30	40	7.05|12.41|1
54	36	7.24|27.71|1
1	26	7.35|11.13|1
40	52	7.42|9.27|1
59	22	7.42|22.88|1
19	59	7.6|28.22|1
12	3	7.79|12.86|1
32	30	8.49|14.26|1
35	9	10.14|12.99|1
8	13	10.47|14.5|1
19	40	10.8|18.25|1
10	45	11.08|13.42|1
16	38	11.19|20.69|1
32	48	12.61|22.87|1
59	52	12.65|16.81|1
54	30	13.76|15.22|1
18	50	14.52|23.03|1
42	25	16.38|29.11|1
18	46	18.67|22.16|1
