7	42	0.47|4.52|1
25	49	0.61|1.83|1
35	33	0.64|2.63|1
13	25	0.64|3.75|31.2
12	20	0.75|14.31|98.9
7	37	1.04|2.26|1
24	8	1.16|4.36|1
15	30	1.71|9.43|13.9
27	53	1.96|12.22|1
31	12	2.11|26.78|78.5
24	16	2.6|14.44|1
51	5	2.7|12.52|1
7	25	2.71|7.81|1
37	18	3.04|7.12|102.9
40	7	3.2|13.43|1
29	35	3.23|4.2|27.3
46	7	3.71|11.18|1
11	7	3.72|6.66|1
51	18	3.77|22.2|26.1
2	6	3.98|16.5|1
51	44	4.08|6.03|1
23	44	4.3|6.33|1
25	37	4.59|9.97|706.0
45	7	4.63|26.07|1
15	52	4.75|25.48|1
24	7	4.75|32.04|1
47	10	4.95|4.98|1
19	7	5.09|19.72|1
3	50	5.1|5.73|1
30	11	5.47|16.39|1
24	26	5.56|7.62|1
41	51	5.74|14.54|1
30	7	5.78|13.62|1
9	7	6.01|17.77|1
43	17	6.04|19.61|1
9	43	6.19|7.33|1
7	18	6.27|11.02|1
42	35	6.39|16.64|1
13	7	6.81|14.24|1
54	39	6.96|14.24|1
8	21	7.04|19.99|1
9	36	7.18|10.34|1
9	3	7.38|9.16|1
4	31	7.89|12.19|1
5	27	7.98|27.18|1
34	6	8.56|18.25|16.2
14	28	8.8|18.71|1
37	48	8.9|17.88|1
18	48	8.91|14.29|1
23	7	10.0|13.32|1
33	47	11.38|12.58|1
15	32	11.83|21.24|46.2
5	54	12.01|13.71|1
9	30	13.29|16.99|1
15	1	13.45|20.07|17.7
7	29	14.29|21.54|1
9	24	14.86|19.22|1
37	49	15.1|18.24|1
5	25	16.72|17.44|1
41	4	16.75|26.07|1
5	37	17.79|22.77|1
18	49	18.61|26.77|1
22	9	20.64|32.48|1
7	38	24.01|24.2|1
